"File","Pattern","LineNumber","Line","Match"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\robots.ts","httpUrl","4","const baseUrl = process.env.NEXT_PUBLIC_BASE_URL || 'https://mjchauffage.com'","https://mjchauffage.com"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\sitemap.ts","httpUrl","4","const baseUrl = process.env.NEXT_PUBLIC_BASE_URL || 'https://mjchauffage.com'","https://mjchauffage.com"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\api\admin\analytics\route.ts","fetch","48","const backendResponse = await fetch(backendUrl, {","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\api\analytics\conversions\route.ts","fetch","12","const response = await fetch(`${backendUrl}/api/analytics/conversions?timeframe=${timeframe}`, {","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\api\analytics\conversions\route.ts","httpUrl","8","const backendUrl = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001';","http://localhost"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\api\analytics\conversions\route.ts","nextEnv","8","const backendUrl = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001';","NEXT_PUBLIC_API_URL"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\api\analytics\dashboard\route.ts","fetch","11","const response = await fetch(`${backendUrl}/api/analytics/dashboard?timeframe=${timeframe}`, {","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\api\analytics\dashboard\route.ts","httpUrl","8","const backendUrl = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001';","http://localhost"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\api\analytics\dashboard\route.ts","nextEnv","8","const backendUrl = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001';","NEXT_PUBLIC_API_URL"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\api\analytics\events\route.ts","fetch","64","const response = await fetch(`${backendUrl}/api/analytics/track`, {","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\api\analytics\events\route.ts","httpUrl","60","const backendUrl = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001';","http://localhost"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\app\api\analytics\events\route.ts","nextEnv","60","const backendUrl = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001';","NEXT_PUBLIC_API_URL"
